host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,headcount_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
215,(주) 마음상사 아파트,Ex expedita illo asperiores sapiente saepe. Voluptatem animi cupiditate incidunt.,전라남도 부천시 테헤란6거리 37-39,37.1759,128.9889,2,5,3,9,9800,28795,10,5,800,2.57,180
1039,(주) 넥스트첨단랩스 멘션,Ducimus mollitia explicabo autem praesentium ex inventore veniam. Omnis possimus assumenda accusantium reprehenderit ducimus. Molestiae molestias tempore rerum.,경기도 오산시 석촌호수76가 407 (영자박리),37.1759,128.9889,2,1,5,9,4500,312032,10,5,2000,2.33,81
1536,유한회사 보람신라코스메틱 모텔,"Harum nam officia ut voluptates. Voluptatem cum recusandae. Dolorum ea dolores tenetur eaque.
Dolore ullam quod delectus maxime fugiat. Facere nihil sed fuga. Recusandae accusamus velit.",대구광역시 성북구 반포대거리 387-43,36.20389,127.08472,2,3,5,7,7900,517026,10,2,1400,4.13,126
1232,주식회사 보람 멘션,Ut debitis est facilis porro praesentium. Ratione maxime quo quisquam ut inventore explicabo. Non ipsum ipsa autem repellat.,전라남도 부천시 소사구 가락7가 906-6,37.65639,126.835,1,3,1,7,8200,776363,10,2,4600,4.34,416
56,주식회사 종합스타엔지니어링 민박,Consequatur omnis consequatur laboriosam. Aut magni laborum unde iste voluptate officia. At odit ratione adipisci cumque.,광주광역시 영등포구 도산대길 900,37.1759,128.9889,2,3,4,3,8600,345706,10,9,2800,4.45,46
528,(유) 에코 한옥,Commodi iusto laudantium repellat deleniti quibusdam quam. Accusantium quas accusantium. Suscipit possimus labore necessitatibus magni.,전라남도 오산시 도산대5로 381,34.8825,128.62667,1,3,5,8,1000,394676,10,9,4700,4.05,15
1152,주식회사 보람코리아시스템 민박,"Reprehenderit possimus doloribus inventore qui debitis repellat.
Provident quas beatae. Ducimus modi incidunt aliquam.",전라북도 수원시 팔달구 테헤란길 지하69,36.20389,127.08472,3,3,4,3,5400,75575,10,9,4100,1.72,14
1858,주식회사 다올전자 호텔,Accusantium ducimus iste nam hic ducimus temporibus. Iste aperiam recusandae dicta officia.,경상남도 속초시 압구정554길 925-53 (성훈김손면),36.82167,128.63083,1,4,1,2,3100,663641,10,4,1000,2.21,452
1506,주식회사 가야 게스트하우스,"Ratione perspiciatis tenetur necessitatibus recusandae.
Possimus dolorum facere vitae debitis.
Dolorem perspiciatis veniam minima. Asperiores minima et deserunt magnam nemo ullam laudantium.",강원도 강릉시 강남대7로 986 (은서이면),36.6009,126.665,1,5,1,4,7900,204279,10,8,2900,1.08,496
1705,(유) 에코항공 게스트하우스,Ea provident labore fugiat quod optio veritatis. Ratione quidem sequi voluptas minus alias magni.,인천광역시 양천구 학동거리 756 (순옥이읍),37.65639,126.835,3,3,5,6,8700,199789,10,7,1100,1.45,329
1878,(주) 씨앤씨종합은행 한옥,"Nemo molestiae dolorum et atque dolore. Ad vel et dignissimos consequuntur.
Dolores vel tempora labore similique ipsam non praesentium. Esse doloribus sed velit vero. Illum nobis quam nisi minima.",제주특별자치도 양평군 오금로 972 (성수최손면),37.1759,128.9889,2,2,2,3,9700,45477,10,5,3800,4.94,397
9,(주) 하나상사 호텔,"Animi explicabo maxime.
Maiores asperiores repellendus ipsum voluptates distinctio. Dicta accusantium excepturi fuga.
Asperiores est animi in ab tenetur. Architecto eveniet ipsum nisi.",전라북도 안산시 상록구 잠실길 409,36.82167,128.63083,3,1,5,7,8500,425404,10,7,1000,4.42,496
1116,(주) 보람코스메틱 한옥,"Nam odit veritatis quisquam veritatis aliquam. Provident nisi qui mollitia cum. Quibusdam earum officiis explicabo corrupti voluptatem.
At enim sed esse vel modi expedita. Eos iste quidem fugiat.",경기도 의정부시 학동59로 164,37.1759,128.9889,2,3,2,1,6800,323922,10,7,4100,2.93,328
1085,주식회사 겨레신문 게스트하우스,Vero tempore voluptates. Nesciunt consequatur soluta est dignissimos et molestias atque. Soluta eos enim impedit perferendis.,경기도 시흥시 강남대3길 571-85 (경숙주민마을),34.8825,128.62667,1,3,1,10,3500,83718,10,3,900,2.04,329
861,(유) 네오시스템즈 민박,Laboriosam impedit repellendus voluptas nemo. Maxime commodi laborum quas harum ipsa quo. Illo quia quod.,충청북도 보령시 오금가 554,36.20389,127.08472,1,4,1,5,2800,128180,10,10,1000,3.37,382
134,유한회사 인포라온보안 호텔,Ex quam minus corporis a corporis. Cupiditate debitis beatae voluptatibus delectus vel ut aliquam. Nulla molestiae magnam.,충청남도 괴산군 가락576가 647-64,37.1759,128.9889,3,4,2,2,6000,74170,10,7,2800,3.21,217
929,유한회사 시너지네트워크 호텔,Saepe quam perspiciatis minima possimus. Occaecati eveniet dolorum laboriosam. Id alias quae perferendis quae minus commodi.,충청북도 수원시 장안구 가락가 186-38 (선영한엄읍),36.6009,126.665,3,3,2,3,5600,146758,10,2,2400,1.16,429
1505,주식회사 비전 민박,Ab magnam optio aliquid inventore autem aut sunt. Fuga itaque rerum impedit provident magnam. Qui libero suscipit accusantium quod.,경상북도 안성시 서초중앙33길 732-64,37.65639,126.835,1,2,3,6,4500,190886,10,4,500,2.96,186
1166,(유) 가온 한옥,"Necessitatibus exercitationem magni nostrum earum vitae ut. Eius aliquam ad quidem libero nulla tenetur. Quasi excepturi animi quia sapiente aliquid.
Sapiente suscipit incidunt eos. Ducimus ea minus.",대구광역시 강북구 강남대457거리 171-66,36.82167,128.63083,2,4,5,7,7100,267975,10,4,2000,4.75,153
53,(유) 한강한빛보안 멘션,Sapiente officia cum quia corrupti saepe laboriosam. Voluptates ullam sint voluptates accusantium. Quisquam enim dolores libero non laboriosam.,경상북도 양구군 서초대길 788-58,37.65639,126.835,1,2,4,9,8800,401185,10,3,3200,4.52,177
1409,(주) 모두코스메틱 아파트,"Voluptas ipsum cumque ipsam eligendi illo quo.
Enim nisi recusandae explicabo. Neque iure ex quibusdam tempore. Eos porro nobis minima corrupti ducimus repellendus.",서울특별시 광진구 서초대6가 124-98 (보람지박읍),34.8825,128.62667,3,1,4,8,8600,508070,10,3,2500,1.21,130
428,유한회사 국민스타네트웍스 도미토리,Ipsa expedita quam nihil sit sapiente ipsum magnam. Commodi voluptatibus quisquam delectus molestiae quo atque animi. Beatae commodi sequi blanditiis aliquid unde similique.,세종특별자치시 송파구 석촌호수로 지하778 (영철권박마을),36.6009,126.665,3,1,5,2,5300,18457,10,2,4800,4.71,237
1924,(주) 발해출판 민박,Consectetur quos harum. Beatae totam accusamus quam eaque voluptatem. Commodi accusamus molestias tenetur labore.,대구광역시 노원구 도산대길 지하382,37.1759,128.9889,1,4,4,6,2300,251082,10,9,2500,4.79,283
139,주식회사 겨레 도미토리,Facilis ea ipsam voluptas. Praesentium dolor est corrupti. Odit ullam consectetur id eos ipsum sed.,대구광역시 중구 도산대가 44 (서연김리),37.65639,126.835,1,5,4,7,2500,339755,10,2,2600,3.84,349
1081,(유) 유니온월드기획 모텔,Repellendus temporibus placeat maiores. Ipsum exercitationem minus voluptate. Quos eius adipisci natus voluptas dolore.,서울특별시 마포구 영동대거리 945-54 (미경서신마을),36.20389,127.08472,3,2,3,10,1900,214783,10,1,3500,2.56,146
1656,주식회사 아름코어상사 호텔,Dolore sequi sunt dolor id reiciendis. Esse animi eum nostrum.,인천광역시 송파구 삼성거리 846 (성수이마을),36.6009,126.665,2,4,1,4,9700,228536,10,2,3000,1.01,249
1584,유한회사 고려 모텔,"Alias soluta laudantium atque itaque. Quis nostrum fugiat non commodi.
Saepe quam ipsa in expedita. Sit eius est maiores nam vero iure.
Atque ea eius repudiandae deleniti.",전라북도 횡성군 양재천거리 464 (민재이김면),36.82167,128.63083,2,3,4,8,7400,63506,10,6,2900,3.89,435
699,유한회사 종합고구려유통 한옥,Ex explicabo qui officiis. Maiores a sit provident. Laborum aliquid tempore. Dolorum placeat natus officia a dolores cupiditate nesciunt.,경기도 안양시 동안구 서초대16길 576-81 (건우이강읍),36.82167,128.63083,3,2,5,4,1600,136161,10,9,3900,3.89,29
1343,주식회사 아름한가람개발 민박,Illo impedit accusantium sint eius dolore in sint. Omnis ut asperiores voluptatum accusantium esse. Hic temporibus beatae adipisci tenetur libero quos.,강원도 부천시 원미구 강남대로 227 (예원서이면),37.65639,126.835,1,2,3,2,8500,331162,10,4,2900,1.81,91
1190,유한회사 다올소프트 도미토리,"Nisi provident consequatur labore. Molestiae vel autem quaerat corrupti laudantium.
Cumque id repellendus numquam dolores impedit quos. Suscipit incidunt illo incidunt cumque unde dolores.",경상남도 계룡시 잠실거리 지하919 (정식김읍),36.20389,127.08472,3,2,1,7,2400,495065,10,8,2600,1.53,228
410,유한회사 월드마루항공 멘션,"Sit iste earum et. Perferendis commodi ad rerum quae.
Nam facilis doloremque dolores illo repellat voluptatem. Sed reprehenderit maiores officiis pariatur nesciunt.",울산광역시 광진구 서초중앙로 30-5,37.1759,128.9889,3,5,5,3,4000,336710,10,9,1700,3.35,119
1899,주식회사 코리아 민박,Ducimus libero exercitationem incidunt porro at. Tempore perspiciatis amet ex beatae minima et.,울산광역시 서대문구 도산대1길 295,37.1759,128.9889,1,3,1,2,2600,9294,10,3,1200,4.45,403
457,유한회사 월드유통 도미토리,Deleniti eum blanditiis quis ipsa iure deserunt. Saepe culpa in excepturi eveniet quia laudantium. Dicta libero ab itaque esse voluptatem.,경상북도 부천시 오정구 테헤란694가 155-14,34.8825,128.62667,3,4,1,5,7800,126606,10,10,1500,4.03,240
1486,주식회사 시너지에코에너지 호텔,Cumque aspernatur consequuntur dolorem fugit. Debitis quos occaecati illo. Pariatur optio sint doloribus adipisci quasi similique. Exercitationem ut laborum.,인천광역시 구로구 삼성80가 829,36.82167,128.63083,1,3,4,7,2500,339551,10,2,1800,2.74,269
1487,유한회사 첨단연구소 호텔,Sint assumenda quos quam eos incidunt. Quia dolores molestias adipisci hic aperiam. Dolorem rem est beatae sit.,세종특별자치시 은평구 삼성482가 934-71 (영길안마을),36.82167,128.63083,3,3,3,3,9300,598192,10,7,3200,2.15,192
1553,유한회사 넥스트미래테크 도미토리,Repudiandae voluptatibus molestiae dolorem distinctio ipsam. Eos quo molestias ullam. Quaerat explicabo hic ipsa alias maiores eum.,인천광역시 강서구 강남대4로 831,34.8825,128.62667,3,2,4,3,10000,258644,10,3,3200,1.93,323
1300,(주) 넥스트 아파트,Autem totam repellat earum. Labore suscipit delectus reiciendis nisi. Quis quas dignissimos eius esse. Quod nam molestiae unde sunt.,제주특별자치도 인제군 선릉934거리 865 (성진이민마을),37.1759,128.9889,1,2,3,4,4600,304912,10,5,2400,1.21,458
827,(주) 보람개발공사 민박,Ad nostrum harum provident voluptatibus dolore. Iusto commodi vero laboriosam iusto. Maxime impedit blanditiis doloribus.,대전광역시 강서구 양재천3길 98-37,37.1759,128.9889,1,2,3,3,10000,539891,10,8,1500,1.76,126
1694,(유) 백제정보통신 게스트하우스,"In quam fugit ullam. Accusantium at iure occaecati.
Sed libero nemo rem. A cupiditate qui iusto.",울산광역시 관악구 양재천로 지하508,34.8825,128.62667,1,1,1,8,3400,223545,10,7,3700,1.63,131
979,유한회사 한가람 멘션,Voluptatem fugit earum natus. Cupiditate officiis qui dolorem sit voluptatibus quas. Ullam quidem earum ducimus.,경상북도 부여군 논현가 602,37.65639,126.835,3,2,5,1,7600,120732,10,5,2800,1.13,312
275,유한회사 우리인포출판 멘션,Architecto placeat nesciunt maiores libero tenetur. Impedit enim numquam dolor laboriosam. Dignissimos maiores voluptas ullam quibusdam.,강원도 부여군 영동대길 790 (경희이마을),37.1759,128.9889,3,4,3,2,6600,150901,10,9,4300,3.16,37
65,(유) 한강 멘션,Soluta excepturi magni voluptatum recusandae totam aperiam. Impedit maxime sed corporis sint nobis. Excepturi ratione quasi.,서울특별시 종로구 서초중앙가 지하127 (지우김동),36.20389,127.08472,3,5,3,4,8000,161316,10,7,3100,4.85,129
838,(주) 브레인 게스트하우스,"Amet nisi reprehenderit. Nostrum rerum enim consectetur quia quibusdam error accusamus.
Quaerat soluta exercitationem. Esse officia consectetur unde perferendis accusantium. Aperiam at accusamus.",울산광역시 종로구 석촌호수887가 500-68 (민재류읍),37.1759,128.9889,2,3,3,1,2900,161593,10,2,3300,2.44,86
1790,유한회사 모두 민박,"Quae eveniet a veritatis aliquid. Eligendi repudiandae harum at corporis dolorum.
Veritatis nihil officia aspernatur nobis blanditiis. Blanditiis odit eveniet veniam ab aperiam nisi.",경기도 용인시 처인구 테헤란977가 194,36.20389,127.08472,1,5,2,10,8800,295766,10,3,1800,1.29,368
540,(주) 라온 모텔,Velit odit sed dolores. Corrupti nemo dolorem consequatur nostrum temporibus cupiditate.,세종특별자치시 성북구 선릉가 187,36.6009,126.665,2,2,4,8,2300,60968,10,4,4600,4.41,101
1302,(유) 첨단솔루션 민박,Alias aliquam fugiat velit necessitatibus minima ut laudantium. Cum amet non quam doloribus qui.,세종특별자치시 은평구 반포대가 321,36.20389,127.08472,1,4,2,8,4300,160016,10,8,1100,2.43,79
1831,(주) 원더다올반도체 호텔,Consectetur odio suscipit modi labore. Doloremque quae sunt. Optio magni corrupti asperiores vel autem sequi at.,전라북도 양양군 개포가 지하262 (영호최면),36.6009,126.665,3,1,1,8,8600,306294,10,8,1900,1.69,151
1947,(주) 나루중앙은행 아파트,Omnis cumque officiis ea quaerat eligendi porro. Dicta dignissimos tempore provident doloribus.,전라북도 용인시 도산대7거리 723-92,36.20389,127.08472,2,3,4,6,4700,360611,10,8,4900,3.13,147
832,주식회사 네오 모텔,"Autem numquam aut inventore accusantium.
Necessitatibus ipsum sapiente facilis vitae. Atque laboriosam incidunt in assumenda.",울산광역시 강서구 봉은사가 78 (영철배읍),36.6009,126.665,3,3,1,9,9300,463567,10,7,1900,1.11,325
595,(주) 신라미래개발공사 한옥,Modi vero pariatur molestias ipsum. Aut id praesentium enim magnam consectetur aut. Debitis nulla maiores nam rem modi dolores.,전라남도 성남시 분당구 압구정가 295-60 (은정박읍),36.20389,127.08472,1,3,2,10,7800,164018,10,3,1900,2.25,475
484,주식회사 한강 모텔,Odio neque fugiat. Fugit maxime asperiores. Aut odit quos iste.,충청남도 논산시 압구정길 310,36.82167,128.63083,1,4,2,8,9700,195907,10,6,4900,4.95,31
265,주식회사 가람솔루션 아파트,"Odio architecto dolore minima mollitia ducimus. Ex dignissimos alias accusantium. Odio vel ad sequi omnis laudantium veniam.
Rerum natus illum.
Hic omnis quas veritatis. Quis ipsum quam est.",충청북도 금산군 학동길 935,37.1759,128.9889,3,1,1,6,1100,138551,10,3,4300,2.94,44
1572,(주) 다올아름뷰티 민박,Recusandae aspernatur molestias commodi vero perferendis explicabo. Ducimus quod asperiores corrupti harum aperiam eligendi.,강원도 양주시 봉은사로 180-27 (영환박황마을),36.20389,127.08472,1,1,1,9,7300,7132,10,3,800,3.62,124
57,유한회사 시너지 호텔,"Quis amet deleniti rem. Id aut ipsam aliquam facilis. Aperiam esse pariatur.
Facere quidem dolorum voluptates. Quos modi placeat a odit eveniet. Eos laboriosam quis quibusdam ullam et.",대구광역시 강서구 강남대8로 지하648,34.8825,128.62667,3,3,3,1,1900,406584,10,4,4400,2.93,21
1491,(유) 한가람상사 아파트,Placeat eos nam optio ipsa error. Sunt officia maiores voluptatum error dignissimos excepturi. Placeat enim iure eligendi optio sequi vero esse.,경상남도 정선군 개포로 805,36.20389,127.08472,2,4,4,9,4900,164594,10,6,4700,3.22,260
1106,주식회사 백제 도미토리,Voluptas laboriosam quisquam autem nam a. Expedita ad labore cum a assumenda iste.,충청남도 예산군 잠실687가 212-67,36.82167,128.63083,1,5,3,1,1500,299235,10,5,1300,4.15,125
1714,유한회사 유니온바이오 모텔,"Ratione ipsam omnis incidunt. Molestias a voluptas ex vel optio vero nulla.
Esse rem numquam possimus nostrum. Amet nemo dignissimos consequuntur iure.",충청남도 논산시 봉은사484로 488 (영자이이동),34.8825,128.62667,2,1,2,10,2900,444070,10,4,1300,2.52,407
933,(유) 한빛 아파트,Sequi voluptate ipsa ratione. Doloribus libero eligendi deserunt. Possimus dolorem quis reprehenderit repudiandae.,충청북도 계룡시 개포로 896,36.82167,128.63083,1,4,5,7,1200,227631,10,3,2300,2.37,333
136,주식회사 하나 게스트하우스,"Iusto deleniti nisi quidem vero natus. Natus minus nihil delectus eligendi eius.
Rem distinctio autem exercitationem modi. Numquam enim et officia dolor. Doloremque eveniet sequi sint nesciunt.",제주특별자치도 하남시 선릉가 542 (상훈이박읍),37.65639,126.835,2,3,5,1,9100,513558,10,8,3900,4.23,488
2000,유한회사 인포마음플랫폼 도미토리,"Quasi repudiandae cumque quo. Laboriosam quam nostrum dolorum pariatur.
Atque eos expedita est molestiae deleniti a. Ad cum recusandae porro adipisci tempore similique.",충청북도 강릉시 봉은사997길 268-39,37.65639,126.835,1,4,3,4,3400,178379,10,5,2200,2.44,399
1123,(주) 넥스트솔루션 호텔,Ut commodi recusandae. Adipisci eius rem. Ipsam deserunt hic ipsa itaque reiciendis.,충청남도 단양군 반포대로 917-1,37.65639,126.835,3,3,3,5,8700,10447,10,1,5000,1.05,402
1867,(주) 라온가온상사 도미토리,"Laborum facilis porro quos culpa. Id sequi non sunt cupiditate.
Est commodi iste itaque. Asperiores fugiat eos tenetur voluptates architecto sapiente.
Dolorem quam nam nisi eius culpa.",대구광역시 강북구 개포가 277-76,34.8825,128.62667,1,1,3,1,7400,167152,10,9,3200,1.85,340
1256,주식회사 코리아유니온플랫폼 멘션,"Similique error dolorum doloremque velit expedita. Non perferendis quae doloribus.
Perspiciatis aperiam illo ab. Voluptates veritatis dolorum est ea omnis. Esse commodi dolores iusto at labore.",경상북도 수원시 권선구 개포길 73-94,37.1759,128.9889,1,1,4,6,9100,286898,10,5,4500,3.85,133
944,(유) 넥스트기술 모텔,Minus provident placeat possimus deleniti. Nulla earum id molestias ut dolorem laudantium. Labore itaque maiores quo facilis eveniet.,대전광역시 강북구 오금119길 144-28,36.6009,126.665,2,2,2,2,7600,97637,10,3,3300,4.22,420
1183,(유) 글로벌한빛코스메틱 한옥,Laboriosam consectetur quos et. Alias provident iste necessitatibus enim nihil nihil. Minus aliquam sed doloribus sequi laudantium.,세종특별자치시 노원구 잠실1로 지하69,34.8825,128.62667,1,3,3,7,5300,287528,10,1,1600,2.09,498
1200,(유) 아름 민박,Enim cupiditate sapiente numquam. Similique qui dicta ipsum. Ipsum temporibus iusto alias nemo.,광주광역시 성동구 도산대가 206-71 (지민이면),34.8825,128.62667,1,3,1,7,5200,234591,10,1,2800,1.92,55
1591,주식회사 다올브레인솔루션 아파트,"Totam tenetur aliquam reiciendis. Consectetur quia a ea.
Ex ea officiis atque cum. Voluptatum nam molestias repellat cum quidem.
Vitae deserunt dolorum ducimus perferendis.",대구광역시 강서구 압구정로 956 (성민차읍),34.8825,128.62667,1,5,5,1,6300,89545,10,9,4500,2.93,189
923,(유) 가람가온에너지 멘션,"Itaque soluta debitis perspiciatis corporis. Ullam adipisci commodi ad nostrum.
Quos voluptate harum atque. Perferendis accusantium rerum corporis aspernatur dolore et.",충청북도 제천시 학동로 지하304 (춘자강김리),36.82167,128.63083,1,1,2,5,5900,385306,10,8,3300,3.17,484
1652,(주) 유니온솔루션 모텔,"Nostrum nihil eligendi fugiat eligendi occaecati ex. Pariatur cumque inventore eos corrupti consequatur.
Voluptatibus laudantium voluptas quaerat cum dicta cupiditate.",경기도 성남시 언주5길 129,34.8825,128.62667,3,2,5,7,9600,216743,10,6,4300,4.19,272
889,유한회사 코어 모텔,"Velit sunt sequi praesentium quibusdam sint. Dolor nobis corporis quibusdam accusantium.
Tempora minus repellat fuga. Sit perspiciatis vero perferendis atque iusto nisi at.",울산광역시 북구 양재천850가 260,36.20389,127.08472,1,1,2,3,5300,176736,10,10,4100,4.99,354
133,주식회사 글로벌반도체 모텔,Vitae provident reprehenderit quia ut ea. Distinctio dolore quo unde maiores quos iste consequatur.,광주광역시 중구 서초대거리 892,34.8825,128.62667,2,1,4,1,7100,9021,10,3,4800,2.12,45
702,(유) 조선시스템 멘션,"Omnis sit soluta. Mollitia provident rerum. Ipsam corporis quos eius quas delectus laudantium.
Modi omnis sit est autem voluptatem odio. Asperiores dolorem neque deleniti beatae nesciunt.",경상남도 화성시 서초대75가 201,34.8825,128.62667,2,5,3,2,7600,11512,10,10,4400,1.25,408
438,(유) 비전 한옥,"Tempora unde hic soluta doloribus deleniti. Suscipit sint repellendus. In dolorum asperiores possimus.
Atque sapiente soluta iste similique voluptas ipsam. Commodi qui perspiciatis aliquam.",대전광역시 동대문구 백제고분56길 414-1,34.8825,128.62667,3,5,2,8,6100,42143,10,3,3600,2.54,226
373,주식회사 비전솔루션 아파트,"Id fugit reiciendis soluta. Aliquid eaque facilis.
Natus nulla nisi modi numquam numquam iure. Odit voluptate minima adipisci culpa.",강원도 고양시 압구정1가 909,34.8825,128.62667,2,1,5,4,3100,13174,10,2,1800,1.17,189
1644,(주) 가람유통 멘션,Mollitia laudantium quia maiores quo. Sunt consequuntur quae hic vero perferendis qui. Nostrum pariatur eaque quo.,세종특별자치시 마포구 오금가 지하326 (동현조읍),34.8825,128.62667,1,2,1,1,3400,323434,10,8,800,2.67,187
983,(유) 네오네트워크 멘션,Esse quas praesentium a corporis nesciunt exercitationem inventore. Expedita libero quo dolore. Ipsum repudiandae natus ipsam.,충청남도 광명시 학동4거리 483-12,36.6009,126.665,2,5,1,6,3900,363538,10,10,4300,1.53,436
1308,주식회사 브레인아름뷰티 도미토리,Aliquam aliquid maiores itaque rem consectetur sapiente incidunt. Accusantium quaerat sequi nesciunt. Dolorem consequuntur non magni optio.,울산광역시 강북구 테헤란길 886-47,36.20389,127.08472,2,1,1,9,7600,159034,10,7,4100,2.34,495
199,유한회사 네오백제테크 호텔,"Repellendus ratione eos quas. Aliquam tenetur voluptatum saepe facilis quos.
Dolorem pariatur iure quisquam quod soluta quam. Molestiae deleniti ipsam autem. Odio nobis inventore sequi.",대전광역시 성북구 석촌호수1거리 25 (성수진리),34.8825,128.62667,1,1,3,10,7200,135414,10,3,3900,1.15,312
1113,(유) 첨단에이아이 민박,"Ducimus minima officia voluptates vero.
Occaecati aliquam et iusto architecto perspiciatis. Similique voluptatum doloribus nobis.",충청북도 수원시 개포27가 692-42,37.65639,126.835,2,5,4,7,7200,423216,10,5,3500,1.02,163
1841,주식회사 겨레한강에너지 게스트하우스,"Voluptatum quasi magni accusantium harum maiores architecto perferendis.
Exercitationem nobis nobis quo perferendis veritatis id. Quia necessitatibus velit suscipit eum eos incidunt delectus.",부산광역시 강남구 오금928거리 179-59,37.1759,128.9889,2,5,3,8,2300,303256,10,5,2900,3.8,458
1416,(주) 고구려다올그룹 게스트하우스,Quis ullam libero eum unde esse sit. Deleniti vitae exercitationem laudantium voluptatum. Laborum cum unde a minus impedit.,제주특별자치도 태안군 개포06로 907-93,36.20389,127.08472,1,4,4,8,9200,8773,10,6,1800,1.05,332
1525,(주) 브레인전자 도미토리,"Dignissimos et velit. In omnis porro totam voluptatibus. Sit eligendi ipsam quo rerum.
Eveniet voluptatibus sapiente aut nam sunt. Voluptate molestiae quas.",인천광역시 용산구 학동거리 932-91 (민수이리),36.6009,126.665,1,2,2,2,8100,167421,10,2,3800,1.14,325
1067,주식회사 조선 멘션,"Magni ea beatae cupiditate vitae nisi. Eius animi pariatur commodi neque reprehenderit.
Eum aliquam quidem vero expedita quibusdam in. Est omnis laboriosam eius amet.",경상남도 고양시 일산동구 논현가 470-37,34.8825,128.62667,3,1,1,10,8200,323107,10,10,3100,1.72,181
1235,(유) 발해유니온연구소 아파트,Soluta rem placeat qui consequatur. Atque voluptatum odio quas voluptatibus. Aliquam officia deserunt sequi.,충청남도 부천시 봉은사2거리 269,34.8825,128.62667,2,4,4,5,4100,566813,10,7,1300,3.77,71
288,(주) 푸른전자 도미토리,"Accusantium eligendi culpa provident. Delectus blanditiis tempore.
Dignissimos magni hic hic ab.
Deleniti optio consequuntur impedit quas. Accusamus vero possimus ducimus excepturi aliquid.",충청북도 영월군 영동대거리 730 (현지김한리),34.8825,128.62667,3,5,4,8,5100,74561,10,4,2300,4.62,95
1374,주식회사 한빛 모텔,"Maiores esse minus. Sit eaque nesciunt. Natus pariatur doloremque et alias.
Veniam eaque blanditiis quia. Saepe debitis ducimus pariatur saepe.",강원도 서천군 역삼거리 415-37 (성훈최면),36.6009,126.665,2,1,5,8,5600,32892,10,1,3400,1.41,102
